Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Minisectt Ropar,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140001
Ropar,,Head Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140001
Thermal Plant Colony Ropar,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140001
Bhamnara,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140101
Dhangrali,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140101
Morinda,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140101
Rattangarh Ii,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140101
Saheri,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140101
Tajpura,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140101
Barsalpur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140102
Chaklan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140102
Dumna,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140102
Kainaur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140102
Lutheri,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Lutheri,Punjab,India,140102
Makrauna Kalan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140102
Rollumajra,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140102
Samana Kalan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140102
Allahpur,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140103
Burmajra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140103
Chintgarh,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140103
Dhanauri,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140103
Jhingran Kalan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140103
Kaishanpura,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140103
Kalewal,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140103
Kurali,,Sub Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140103
Mundhon Kalan,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140103
Sahauran,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Sahauran,Punjab,India,140103
Sihon Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140103
Singhpura,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140103
Sotal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140103
Ballamgarh,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140108
Behrampur Zimidari,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140108
Kotla Nihang,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar Ho,Punjab,India,140108
Mian Pur,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140108
Pathreri Jattan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140108
Purkhali,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140108
Rangilpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140108
Sainfalpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140108
Singh Bhagwantpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140108
Khizrabad West,,Sub Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Khizrabad West,Punjab,India,140109
Kubaheri,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140109
Baraudi,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140110
Hoshiarpur Taqipur,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Sialba Majri,Punjab,India,140110
Kansala,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Sialba Majri,Punjab,India,140110
Manakpur Sharif,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140110
Phatwan,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140110
Sialba Majri,,Sub Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Sialba Majri,Punjab,India,140110
Siswan,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140110
Baddi Jhallian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Bela,Punjab,India,140111
Bazidpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Behrampur Bet,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Bela (Rupnagar),,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Bhairon Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140111
Bhallian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Bhoje Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Hafizabad,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Jatana,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Jhallian Khurd,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Kheri Salabatpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140111
Phool Khurd,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140111
Bassi Gujran,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140112
Bhaku Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140112
Chamkaur Sahib,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Chamkaur Sahib,Punjab,India,140112
Katlaur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140112
Sandhwan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140112
Ghanauli,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140113
Lodhi Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140113
Malikpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140113
Nangal Sirsa,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140113
Nuhon Colony Ropar,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140113
Bharatgarh,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Bharatgarh,Punjab,India,140114
Bharatgarh Canal Colony,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Rupnagar,Punjab,India,140114
Gardley,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140114
Kiratpur Sahib,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Kiratpur Sahib,Punjab,India,140115
Massewal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140115
Jhinjari,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140116
Kotla Power House,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140116
Paharpur Samloh,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140116
Barwa,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Basali,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Chanauli,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Jatauli,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Jhaj,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140117
Kahanpur Khui,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140117
Kalwan,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140117
Katta Sabour,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Khera Kalmout,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140117
Makari,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140117
Nurpur Bedi,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Rauli Jhinjri,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Thana,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140117
Agampur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140118
Anand Pur Sahib,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140118
Abiana,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140119
Bajrur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140119
Bhaowal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Dhamana,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140119
Jhandian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Takhatgarh,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Tibba Taparian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Ganugwal,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140123
Mangewal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140123
Thaluh,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140123
Dhobeta,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Labour Colony Nangal,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Nangal Dam,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Nangal Nikku,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Nangal Talwara,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Nangal Township,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140124
Ajauli,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140125
Bandelhari,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140125
Behrampur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140125
Manakpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140125
Pratap Nagar Nangal,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140125
Bass Bhabour,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140126
Bhallan,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140126
Bhallari,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140126
Bhanam,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,,Punjab,India,140126
Factory Area Nangal,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Fertilizer Factory Nangal,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Gohlani,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Mojowal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Naya Nangal Sector 2,,Sub Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Sukhshal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Swamipur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140126
Bhanupali,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Bhanupali,Punjab,India,140133
Daroli,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
Dher,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140133
Jandbari,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
Kalitran,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140133
Khamera,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
Bhankarpur,,Branch Post Office,Delivery,Punjab,Patiala,Chandigarh,Chandigarh HQ,Dera Bassi,Punjab,India,140201
Mubarakpur (Patiala),,Sub Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Dera Bassi,Punjab,India,140201
Cholta Khurd,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140301
Daun Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Jandpur,,Branch Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Kharar (Rupnagar),,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Naya Shehar,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Palheri,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140301
Radiala,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140301
Roorkee Pukhta,,Branch Post Office,Non-Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
T.C.Kharar,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Tewar,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140301
Dharamgarh,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140306
Dhurali,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,,Punjab,India,140306
Manauli,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140306
Mote Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140306
Raipur Kalan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140306
Bhago Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140307
Chudiala Sudan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,140307
Geega Majra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140307
Jhanjeri,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,,Punjab,India,140307
Landran,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140307
Machhlikalan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140307
Majatri,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140307
Rasanheri,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140307
Kumbra,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140308
Mauli Baidwan,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140308
Sohana,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,140308
IA Rajpura,,Sub Post Office,Non-Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140401
IFP Rajpura,,Sub Post Office,Non-Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140401
KSM Rajpura,,Sub Post Office,Non-Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140401
Rajpura,,Head Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140401
Basantpura,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Bhapal,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Bhedwal,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Chalheri,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Chamaru,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Dhankansu Kalan,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Khadauli,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Kotla,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Pola,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Rajpura Township,,Sub Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Shamdoo,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Suhron,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Ugani,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140402
Badochikalan,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140405
Bhamarsibuland,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140405
Jallah,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140405
Mulanpur Kalan,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140405
Sainipur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Rajpura,Punjab,India,140405
Sangatpur Sodhian,,Sub Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140405
Adampur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Badali Ala Singh,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Balhari Kalan,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Chunni Kalan,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Dhangerian,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Harlalpur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Khera,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Lataur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Mahadian,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Makrampur,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Bassi Pathana,Punjab,India,140406
Malkomajra,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Mannupur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Nabipur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Pamaur,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Rajindergarh,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Rampur Landiali,,Branch Post Office,Delivery,Punjab,Patiala,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Reona Ucha,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
RR Sirhind,,Sub Post Office,Non-Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Rupalheri,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Sadhugarh,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Saidpura,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Sirhind,,Sub Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Sirhind City,,Sub Post Office,Non-Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140406
Talania,,Branch Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Sirhind,Punjab,India,140406
Fatehgarh Sahib,,Sub Post Office,Delivery,Punjab,Fatehgarh Sahib,Patiala,Chandigarh HQ,Fatehgarh Sahib,Punjab,India,140407
